ID	S002_FU3	S002_FU4	S002_FU5	S013_FU1	S013_FU2	S013_FU3	S017_BL	S017_FU1	S017_FU2	S020_NTS1	S020_FU4	S020_FU5	S029_BL	S029_FU1	S029_FU2	S007_BL	S007_FU1	S007_FU2	S007_NTS1	S007_FU3	S007_FU5	S008_FU1	S008_FU2	S008_FU3	S009_BL	S009_FU1	S009_FU2	S009_FU3	S009_FU4	S019_BL	S019_FU1	S019_FU2	S019_FU3	S019_FU4
cg00173659	0.067699676	0.103114288	0.040730662	0.096783778	0.115184332	0.048314049	0.079269809	0.059169242	0.073725294	0.088115726	0.059076021	0.095101734	0.076527911	0.049119766	0.112612249	0.121023674	0.192026078	0.205331611	0.256438447	0.189171406	0.13156391	0.33502908	0.498698321	0.28383148	0.075139147	0.047407477	0.127214345	0.052107798	0.217023557	0.485244242	0.182417728	0.354676811	0.596457245	0.589306997
cg00174573	0.104681608	0.127547655	0.140230531	0.041050045	0.204922825	0.10275386	0.096249445	0.060172111	0.121432419	0.11082736	0.075257306	0.092032077	0.099955956	0.237341095	0.079406754	0.225676414	0.185760086	0.211102132	0.181745204	0.230755139	0.108408256	0.437477263	0.588211133	0.377024622	0.099397788	0.072330437	0.119186191	0.069416155	0.089724382	0.31919877	0.147128989	0.184305118	0.428425134	0.499145037
cg00174851	0.361346784	0.481938787	0.408067475	0.564270784	0.529472417	0.462427715	0.250181095	0.213342558	0.231650253	0.372358121	0.313063936	0.241801914	0.472144573	0.331154595	0.342864625	0.56943386	0.46325901	0.549039447	0.535733576	0.606007678	0.434127644	0.582791575	0.608668547	0.464138399	0.471709526	0.43103282	0.525927693	0.442223883	0.484414326	0.654926029	0.508040536	0.680699616	0.752960011	0.672124191
cg00175153	0.729785773	0.750790877	0.779398951	0.833608623	0.733435515	0.791863759	0.836116004	0.801586547	0.816982561	0.753076028	0.765341119	0.726330878	0.836801119	0.843421307	0.835733066	0.74510784	0.655501824	0.748454263	0.647786344	0.818330404	0.853231638	0.612195501	0.621212594	0.731824253	0.815758275	0.883588392	0.80293398	0.796448716	0.752584778	0.590612325	0.688082527	0.640731495	0.484063621	0.46914252
cg00177388	0.118983429	0.165497283	0.088253689	0.02501652	0.184712725	0.047157934	0.087976601	0.087590661	0.05187503	0.131892891	0.027234344	0.068270533	0.095463543	0.046729015	0.06663151	0.220425477	0.227045476	0.192179037	0.244995704	0.115372228	0.056193345	0.353847514	0.459953717	0.244658564	0.055427953	0.066546155	0.111706277	0.080864688	0.238602611	0.485709876	0.221900367	0.391207595	0.567103264	0.554615216
cg00177431	0.781604976	0.76007795	0.848976876	0.76689035	0.829567568	0.769416396	0.736587918	0.767571602	0.819097773	0.804786895	0.845687582	0.785452462	0.81914692	0.780319574	0.834854314	0.737934829	0.707163206	0.841718427	0.837322025	0.80340247	0.838649259	0.723797272	0.591281995	0.7569286	0.803753444	0.772667719	0.813229519	0.73172375	0.797320409	0.521429261	0.777048663	0.58153902	0.445772834	0.377131701
cg00188748	0.245212659	0.326676641	0.313274236	0.160431065	0.429015319	0.078607557	0.077350055	0.079041095	0.051546246	0.230419482	0.054434463	0.096832607	0.177238696	0.147656751	0.156789646	0.100162624	0.236664004	0.286070492	0.417652039	0.067822556	0.100834556	0.185074185	0.116327412	0.107026016	0.042879354	0.069573964	0.181776696	0.123558824	0.124660621	0.303691663	0.37939286	0.229564684	0.315657547	0.436506718
cg00192031	0.118504235	0.169270378	0.1120574	0.100587695	0.147728852	0.06463188	0.066641759	0.112981819	0.093755609	0.106546601	0.082883974	0.144335892	0.088836942	0.077837795	0.125204134	0.193955182	0.169461916	0.138376363	0.221785826	0.115101048	0.093553461	0.361907171	0.397700031	0.223717633	0.04402903	0.102627174	0.137737643	0.087896598	0.194458855	0.22743717	0.149679214	0.174746856	0.295204427	0.26306594
cg00193283	0.317804756	0.355337526	0.486901755	0.198058773	0.546639249	0.206020082	0.431165303	0.417267569	0.336391537	0.214289293	0.146370201	0.152691021	0.536838765	0.369070273	0.463986537	0.272153194	0.07061605	0.305747069	0.383603658	0.131078026	0.124516537	0.786945072	0.764967451	0.551386843	0.681536549	0.750998606	0.62452286	0.557901315	0.671984069	0.555848026	0.441528484	0.394721786	0.583906404	0.472893917
cg00193859	0.856630879	0.902211683	0.89310262	0.878893015	0.906782458	0.85749299	0.876083084	0.886195118	0.905029493	0.881250805	0.843652329	0.913420363	0.887763387	0.866455834	0.887924351	0.945281282	0.920164654	0.897878195	0.88188255	0.883847237	0.888325374	0.779305878	0.684547912	0.833540974	0.863546665	0.901372459	0.855804327	0.879206426	0.802218521	0.658649905	0.9252448	0.71710124	0.591764587	0.654137308
cg00204465	0.27336596	0.262185313	0.125541945	0.073938056	0.19797062	0.062381225	0.116676748	0.045736888	0.062897452	0.158640673	0.094330025	0.107433407	0.139140728	0.097547472	0.085174174	0.085092388	0.157520672	0.166879382	0.242774625	0.084972641	0.117684792	0.447262755	0.502300754	0.358181379	0.048915164	0.049879502	0.093823653	0.063532904	0.351146931	0.544213083	0.230687846	0.504086903	0.622107112	0.640424073
cg00204782	0.119769513	0.068424254	0.076114768	0.087662752	0.063416116	0.166150202	0.126483332	0.069174216	0.079518866	0.059793057	0.132732723	0.079711348	0.04956762	0.06630001	0.119290487	0.107448233	0.125469809	0.047025622	0.066825215	0.060603133	0.110173518	0.322494905	0.366037561	0.258254371	0.029994062	0.070629052	0.080245541	0.105281738	0.212565703	0.405993637	0.074396961	0.352686377	0.507613505	0.483818254
cg00220335	0.80428922	0.744689734	0.73839513	0.859548138	0.770305416	0.765019242	0.77518805	0.840073274	0.813937828	0.815273544	0.77948834	0.796831536	0.827564353	0.819363948	0.733146342	0.63613331	0.740425348	0.749733744	0.718824498	0.797015289	0.806874971	0.792028429	0.764883342	0.683860787	0.828945924	0.838363378	0.730549917	0.846862637	0.784794431	0.568338335	0.789550313	0.737663865	0.644888218	0.698485293
cg00222341	0.11173755	0.109296052	0.123753736	0.129888828	0.138241072	0.121918121	0.083985885	0.072714037	0.102596536	0.101259669	0.084695358	0.143577653	0.101452309	0.119388788	0.080221757	0.120566987	0.147127477	0.154401499	0.209363565	0.1199827	0.109373244	0.350976194	0.412847718	0.253067561	0.100439381	0.141444006	0.094370496	0.112790847	0.075933908	0.279334128	0.178551329	0.194795332	0.330558765	0.369943427
cg00232402	0.175732367	0.151422661	0.239272176	0.091318137	0.255582298	0.073952267	0.086347035	0.095260635	0.071148201	0.080112824	0.098609048	0.113000152	0.1607364	0.149721375	0.098183205	0.09303785	0.090446475	0.149197113	0.264135152	0.094090402	0.08014915	0.262555259	0.242499498	0.238778274	0.051503368	0.062638242	0.105621	0.079117121	0.139908219	0.189498858	0.155083275	0.121414848	0.271802937	0.36454091
cg00246451	0.112407476	0.089068329	0.080258655	0.03363207	0.06030235	0.066466628	0.081046111	0.056543357	0.054176272	0.094930579	0.125274331	0.074309818	0.097909988	0.08694556	0.089712133	0.090951058	0.071973606	0.058566102	0.053855621	0.048439238	0.057995659	0.363021333	0.479457506	0.229657332	0.048956445	0.103811738	0.127270814	0.083966005	0.189901763	0.410128595	0.035975141	0.312942681	0.494440774	0.530046756
cg00249383	0.25846216	0.407590008	0.283156656	0.095795828	0.471802466	0.084144724	0.247416277	0.251088002	0.203593659	0.276669739	0.045064088	0.193782889	0.284733495	0.155695381	0.278948264	0.21571024	0.242343666	0.362309379	0.411135178	0.255439408	0.340610436	0.31109884	0.384225475	0.440717632	0.168395286	0.201348998	0.185683583	0.351754669	0.44816941	0.263194198	0.313717578	0.209465775	0.392559841	0.469741079
cg00257296	0.126843975	0.136953816	0.108338847	0.11733715	0.096320879	0.053182973	0.075454915	0.077851568	0.139257602	0.07016774	0.077585107	0.043384781	0.080950368	0.229894369	0.141165283	0.090998016	0.096145226	0.084210662	0.095498913	0.044724134	0.072454788	0.356341085	0.477513593	0.295306863	0.060183945	0.096564142	0.119823329	0.054448521	0.215830326	0.437093223	0.151297126	0.389591442	0.507445337	0.525927811
cg00257800	0.779991587	0.784531124	0.797123918	0.828692855	0.678776107	0.791157245	0.829163142	0.755943443	0.846332472	0.734033414	0.808387511	0.815014133	0.815662412	0.705374229	0.783508397	0.699337616	0.721473994	0.769570861	0.671795849	0.826711857	0.770643503	0.72251069	0.611279878	0.71870034	0.78839878	0.822286643	0.793764555	0.788427396	0.777703233	0.700848757	0.77920442	0.776589217	0.460990383	0.474772071
cg00258316	0.540766929	0.607722752	0.594154996	0.453761253	0.546417444	0.477989403	0.636490474	0.604157738	0.681028949	0.507741868	0.576874501	0.552084475	0.537096219	0.538499578	0.522625726	0.513228842	0.566809795	0.352529879	0.501557373	0.469917313	0.320238687	0.685310177	0.736272452	0.589208106	0.503727002	0.511971477	0.546443896	0.54588279	0.577250179	0.643351961	0.453732496	0.561000205	0.612242146	0.756661224
cg00258597	0.126657202	0.102176726	0.105883844	0.198819914	0.191794056	0.102014824	0.126057811	0.114852992	0.110006979	0.092141991	0.095396345	0.078499046	0.122551727	0.146051059	0.137934168	0.244282355	0.139707711	0.171447657	0.186362774	0.124254055	0.13855367	0.231780428	0.346758639	0.230263219	0.092051994	0.123749829	0.118928863	0.072816486	0.173026391	0.384214365	0.208697355	0.293283649	0.505370051	0.497299493
cg00262776	0.059890779	0.055698876	0.051470716	0.074289259	0.058959792	0.048311851	0.053192225	0.058484437	0.048971135	0.04650655	0.054655142	0.049002262	0.048140776	0.050653249	0.061887706	0.05749688	0.046662197	0.0432228	0.042215296	0.048081422	0.049993052	0.094730855	0.136693978	0.090735178	0.058619807	0.046178341	0.053604035	0.047320479	0.049980005	0.331634327	0.044484351	0.212655331	0.363115539	0.425929782
cg00271311	0.538242968	0.588859997	0.632159824	0.522196002	0.55577142	0.403777124	0.510749099	0.522297454	0.554065763	0.598707969	0.547704933	0.545154332	0.520290651	0.470959588	0.516690367	0.492536006	0.560544	0.512582807	0.54699469	0.484604335	0.479632086	0.567809747	0.63237607	0.500029589	0.543784058	0.56797123	0.554143034	0.509374696	0.582006383	0.590747589	0.557377022	0.498875053	0.664545943	0.640480184
cg00294382	0.212887237	0.240382885	0.252392333	0.314204967	0.151498988	0.292108917	0.250819486	0.232534162	0.28893426	0.305871132	0.337974356	0.218081188	0.196680278	0.352003783	0.390087809	0.374814934	0.355369974	0.188374742	0.220304119	0.244516997	0.177530398	0.357239393	0.469766565	0.424428879	0.197954958	0.354978736	0.272063496	0.324260882	0.356069622	0.438769999	0.2855469	0.404501255	0.459330703	0.55120027
cg00299943	0.16840684	0.099688834	0.053729919	0.067244695	0.206517674	0.054584143	0.092608978	0.075629331	0.073437438	0.117020135	0.219173125	0.07841384	0.099549457	0.058008857	0.082995947	0.117074962	0.11581442	0.163503013	0.282100427	0.109472058	0.121693186	0.240910441	0.300226144	0.215964586	0.052664753	0.049932941	0.0613688	0.102969099	0.138911194	0.351640498	0.193334764	0.284592435	0.604528935	0.543478622
cg00305281	0.107756636	0.204659287	0.072652244	0.070233177	0.210544982	0.03444221	0.041296112	0.098566003	0.065148501	0.113893947	0.065167782	0.043345382	0.164793266	0.100019303	0.060584631	0.228167782	0.074320714	0.195844052	0.235222284	0.054496194	0.064141165	0.268556771	0.270443557	0.154526511	0.039262187	0.072424869	0.127393337	0.036239966	0.201988948	0.331044498	0.228679891	0.30216982	0.460299188	0.479108619
cg00305947	0.743159457	0.673293258	0.729418935	0.740816067	0.749209023	0.76422764	0.81618447	0.801752709	0.790567765	0.691199218	0.674281457	0.571439332	0.764420728	0.817863895	0.757332883	0.693525078	0.706137357	0.77410325	0.673004469	0.746074917	0.783594198	0.741864746	0.716594319	0.710967117	0.785898736	0.808639343	0.740641179	0.809293983	0.68296051	0.602704501	0.728446749	0.627495058	0.570495161	0.432283236
cg00326719	0.164474061	0.256482566	0.164240475	0.041877649	0.126605753	0.038826683	0.09047038	0.058099179	0.079990274	0.065561411	0.0678564	0.053464579	0.09194945	0.09928855	0.056705769	0.054163376	0.067169809	0.116721796	0.182923592	0.081079596	0.069685738	0.342407709	0.489120459	0.281275118	0.062290487	0.076113378	0.133989217	0.039154553	0.191440902	0.301316317	0.114933058	0.239463862	0.357215486	0.352440629
cg00328724	0.129158646	0.198241633	0.197261689	0.198477842	0.239519974	0.057393587	0.165402063	0.18550277	0.235990927	0.246449947	0.194340607	0.165857189	0.236468822	0.189788837	0.261466276	0.277981156	0.205664195	0.189101989	0.239445566	0.126745889	0.167126938	0.42125103	0.413811529	0.298561433	0.123297423	0.185357667	0.143969465	0.159482829	0.278414913	0.382340984	0.192563151	0.352347764	0.451555879	0.484885826
cg00331032	0.851036965	0.882911297	0.887269768	0.902837721	0.867869589	0.889136417	0.88082727	0.87511732	0.862326516	0.893853055	0.876029208	0.883808207	0.890953784	0.899188891	0.905912399	0.790614606	0.884338059	0.835319502	0.841771279	0.850132996	0.858823986	0.796099786	0.815307772	0.857410873	0.884403276	0.882684773	0.873688726	0.858556229	0.836509606	0.772383726	0.880553917	0.707140243	0.764047128	0.657112663
cg00336700	0.609766504	0.704118969	0.622382618	0.314125009	0.479109571	0.256653164	0.403560359	0.374828468	0.38194169	0.330879274	0.366711911	0.363752639	0.322049099	0.360733942	0.305979554	0.532685474	0.181927705	0.379322611	0.487739957	0.337276861	0.247039207	0.495205689	0.705119149	0.359312396	0.242719174	0.270004014	0.316146785	0.095831235	0.358729425	0.697705686	0.445123504	0.590641053	0.771155924	0.772246312
cg00338116	0.0520498	0.032710731	0.02939766	0.034980792	0.034232108	0.027983515	0.037334114	0.039267874	0.032128748	0.025299808	0.03124292	0.045558337	0.030679778	0.028628082	0.042750265	0.038501943	0.024826565	0.029786919	0.026792263	0.024959186	0.028603051	0.246373667	0.404269516	0.17840147	0.036513622	0.025722242	0.039370928	0.032906976	0.047272527	0.165043448	0.022004781	0.10355934	0.283705902	0.354760218
cg00339769	0.823566462	0.801708752	0.873500622	0.790668614	0.911162904	0.871166378	0.756706362	0.883329838	0.856615751	0.832013238	0.867454234	0.849303942	0.805551308	0.917464624	0.783534867	0.849546801	0.91997615	0.761180559	0.880383104	0.833683752	0.80285203	0.717409309	0.64901334	0.755670721	0.798915595	0.799024757	0.87770719	0.803409805	0.837670076	0.582460601	0.830270237	0.647759483	0.503611119	0.576635557
cg00345443	0.04957511	0.051335727	0.027951254	0.021913789	0.039471567	0.022855304	0.029157084	0.034743715	0.029227328	0.02582855	0.02731165	0.030920216	0.031061687	0.02485529	0.041155477	0.021135228	0.022354978	0.032572296	0.051266784	0.023348105	0.031596501	0.181997461	0.342636131	0.105989941	0.031013825	0.02857289	0.033312779	0.02872579	0.067118392	0.102432145	0.041587597	0.040627725	0.20733375	0.280028432
cg00347757	0.124041132	0.161863141	0.060518184	0.042029888	0.040635176	0.084840137	0.09955763	0.136275041	0.07270423	0.03113013	0.057669974	0.042952644	0.062264067	0.089175758	0.063672042	0.16658978	0.113409997	0.062448054	0.038373085	0.029124453	0.067301911	0.232275654	0.371485306	0.247708953	0.054754002	0.091216075	0.115318354	0.062336054	0.095385967	0.516004287	0.063009788	0.438378137	0.666069642	0.688655096
cg00360794	0.087742396	0.127489265	0.177706509	0.08311646	0.160333287	0.097127683	0.127920166	0.152076242	0.179036982	0.12027824	0.130970213	0.11459338	0.144880135	0.105417558	0.200923761	0.178546502	0.196593335	0.096305455	0.095734895	0.089103289	0.058488773	0.287513466	0.334445281	0.306582272	0.069021232	0.149069773	0.118050955	0.189152991	0.166470208	0.306817248	0.165864589	0.281984939	0.394502624	0.408608481
cg00367424	0.829515924	0.879852318	0.775034585	0.907772162	0.768052976	0.823354751	0.826727506	0.693585695	0.824706832	0.813070555	0.724558649	0.720711811	0.815960992	0.855440395	0.747019299	0.723891278	0.769217649	0.777718261	0.72539161	0.793581273	0.80379372	0.743359556	0.69685286	0.756440683	0.857064842	0.813352833	0.81410762	0.814137206	0.688061538	0.56652472	0.772455958	0.661870269	0.491620669	0.465918874
cg00374672	0.177554553	0.16876401	0.235127406	0.061387697	0.362513325	0.032885227	0.062232119	0.186724933	0.081438917	0.174476359	0.108536656	0.083391759	0.172001835	0.194779222	0.216044095	0.107927648	0.1625784	0.274953286	0.327945546	0.100183409	0.094728855	0.316137639	0.319779092	0.153149031	0.055426425	0.166853638	0.169779372	0.242197638	0.161074039	0.060736816	0.360493729	0.051238106	0.062432011	0.076836975
cg00395501	0.866841599	0.854166216	0.873053872	0.869994173	0.877516917	0.882845643	0.890939388	0.89144527	0.87509186	0.888833928	0.871978097	0.89555495	0.88022321	0.871843694	0.877876074	0.731994475	0.843464655	0.888709247	0.887370365	0.871890773	0.871212485	0.836591493	0.830463117	0.855960467	0.881851242	0.864884312	0.886428854	0.834359647	0.877880449	0.857660743	0.884595757	0.845192098	0.777395336	0.804223412
cg00418027	0.08879563	0.111972999	0.08251253	0.111612566	0.107487241	0.086554236	0.084636748	0.071864367	0.067937879	0.098046322	0.073975206	0.055055493	0.070645919	0.085081718	0.092213286	0.123066243	0.132739126	0.071044253	0.104728	0.111076136	0.071796788	0.324543384	0.403740699	0.29780503	0.078784871	0.10270635	0.148105493	0.090049192	0.248809509	0.30179642	0.128836289	0.192109287	0.310549613	0.302230694
